NumOrden,ITEM,01/01/05,01/02/05,01/03/05,01/04/05,01/05/05,01/06/05,01/07/05,01/08/05,01/09/05,01/10/05,01/11/05,01/12/05,01/01/06,01/02/06,01/03/06,01/04/06,01/05/06,01/06/06,01/07/06,01/08/06,01/09/06,01/10/06,01/11/06,01/12/06,01/01/07,01/02/07,01/03/07,01/04/07,01/05/07,01/06/07,01/07/07,01/08/07,01/09/07,01/10/07,01/11/07,01/12/07,01/01/08,01/02/08,01/03/08,01/04/08,01/05/08,01/06/08,01/07/08,01/08/08,01/09/08,01/10/08,01/11/08,01/12/08,01/01/09,01/02/09,01/03/09,01/04/09,01/05/09,01/06/09,01/07/09,01/08/09,01/09/09,01/10/09,01/11/09,01/12/09,01/01/10,01/02/10,01/03/10,01/04/10,01/05/10,01/06/10,01/07/10,01/08/10,01/09/10,01/10/10,01/11/10,01/12/10,01/01/11,01/02/11,01/03/11,01/04/11,01/05/11,01/06/11,01/07/11,01/08/11,01/09/11,01/10/11,01/11/11,01/12/11,01/01/12,01/02/12,01/03/12,01/04/12,01/05/12,01/06/12,01/07/12,01/08/12,01/09/12,01/10/12,01/11/12,01/12/12,01/01/13,01/02/13,01/03/13,01/04/13,01/05/13,01/06/13,01/07/13,01/08/13,01/09/13,01/10/13,01/11/13,01/12/13,01/01/14,01/02/14,01/03/14,01/04/14,01/05/14,01/06/14,01/07/14,01/08/14,01/09/14,01/10/14,01/11/14,01/12/14,01/01/15,01/02/15,01/03/15,01/04/15,01/05/15,01/06/15,01/07/15,01/08/15,01/09/15,01/10/15,01/11/15,01/12/15,01/01/16,01/02/16,01/03/16,01/04/16,01/05/16,01/06/16,01/07/16,01/08/16,01/09/16,01/10/16,01/11/16,01/12/16,01/01/17,01/02/17,01/03/17,01/04/17,01/05/17,01/06/17,01/07/17,01/08/17,01/09/17,01/10/17,01/11/17,01/12/17,01/01/18,01/02/18,01/03/18,01/04/18,01/05/18
0,GENERAL,67.1219175949,67.3046130617,67.4818735473,68.0469600329,68.1661192519,68.2145671908,68.1083532436,68.0087117691,68.4960801627,68.735776861,68.8513631055,69.0566648947,69.3868350801,69.877960404,70.3332891531,70.3814500277,70.284315152,70.1226923727,70.1435464028,70.2940986792,70.6968129233,70.9433818855,71.0607820253,71.0381731516,71.2490749481,71.2972162241,71.3655511584,71.3587840774,71.3802843051,71.6568879719,71.9564407282,72.0089315768,72.520301961,72.6179985674,72.9792559286,73.3964319507,74.234712164,74.9351652229,76.0439095006,77.1984966198,78.0081683349,78.5985218245,79.0592596253,79.2251834145,79.7475732965,79.7727822513,79.6446030149,79.8777342343,80.4428036177,80.8177917305,81.6996617588,82.2347699838,82.2275968392,82.165439139,82.1050649552,81.8606314808,82.3726474588,82.5678876366,82.8451198955,83.3218573594,84.0139903348,84.3003153941,84.4376619411,84.8744739332,84.8886972846,84.8808830793,84.8974887546,84.9879290883,85.2063065606,85.4230041755,85.6542604908,86.094837997,86.6795835362,87.1606213396,87.4542012326,88.1713959367,88.4763370817,88.51152591,88.667148541,89.0980489954,89.8026911942,90.1189395929,90.3923317149,90.7520369038,91.2667390855,91.976326129,92.8049572794,92.9515853951,92.7712070689,92.9336446706,93.1764126242,93.4453823885,94.4937590765,94.5750309308,94.7068177786,94.5308696897,95.0061925804,95.1816635784,95.5989252098,95.7700534311,95.5613721031,95.423008923,95.4052026705,95.5708174626,96.1135456897,96.5059505026,96.8863659831,97.0835264779,97.7841876295,97.8916559568,98.5732580356,98.864518255,98.8238612066,98.926698465,99.3257366236,99.5337502895,100.1436176965,100.3467068719,100.5285662974,100.6439261877,101.2380931843,101.8580658137,102.2799474967,103.1362756348,103.3188553322,103.739930268,103.6574550897,103.656098307,103.9301927719,103.836155082,103.9476847665,104.045816832,104.3664410479,104.5105122628,104.6537079872,104.9745511622,105.0079326034,105.3847611507,105.2949708274,105.1233220323,105.2834973308,105.1969037197,105.0441135091,105.21091299,105.3032907768,105.512043744,105.6573267019,106.1167691503,106.1652067892,105.5527372698,105.4043671668,105.4168893702,105.2555845438,105.1034891541,104.8158622783,105.0039625528,105.2040501764,105.3651764879,105.4322959126,105.2858555053,105.0936095022
1,Alimentos y bebidas no alcohólicas,57.228169245,57.6260347348,58.0821030556,58.9709837891,59.3498318778,59.2737154794,58.6459572188,58.237424541,58.5919475948,59.4017910881,59.7637711633,60.171782506,60.9052149153,62.0289103443,63.1029668851,62.4520648045,61.9052344653,61.3584415775,61.2356121984,61.6065766712,62.2060356222,62.6604225578,63.0787386135,62.8633859784,63.0952036281,63.1622870813,63.3854849157,63.1957121996,62.9272257256,63.7091302513,64.5319695873,64.1749567318,64.653977977,64.8327379065,65.5347349988,66.4577158784,67.9461721884,69.309468029,71.8243153415,73.9200314817,75.5705122732,76.6556313875,77.2393344148,77.3612768644,77.9049341448,77.6173990822,76.8193534278,77.0904876845,78.0906922445,78.3682664627,79.7348269106,80.501107367,80.214310708,79.7444530651,79.4736316989,78.4889555355,78.4964101121,79.1108494282,79.40805958,80.554462921,81.941679652,82.3946194931,82.7681119153,83.4739013304,83.3303469375,83.0507213572,82.9324167156,83.0273796159,82.9023449045,83.3836711412,84.057206697,84.9059649025,85.9379941281,86.7349811061,87.2087654012,88.5094511313,89.1303320514,88.4576458541,88.4763368298,89.0733339363,90.0091193364,90.2043085421,90.8528968494,90.7060284836,91.136229475,92.0552278727,94.3191223599,93.9185933397,93.0882852384,93.1253068369,93.4272092219,93.8499144035,95.6752103856,95.6121209759,95.790476531,95.2113489818,95.7401427553,95.5975493782,96.3365169665,96.1559901196,95.2882685114,94.678574892,94.1670790174,94.5341537511,95.0104067383,96.0077537313,96.7432610302,97.0432609145,98.667159016,98.3010115703,99.7795222831,100.3372496719,99.3981852999,98.969242541,99.6530832365,100.3856242174,100.4092874822,100.6591494555,101.2391704259,101.3742182196,101.8184768665,102.2447509531,102.7248251874,104.4020076534,104.6372900657,105.0750702232,104.7614600511,104.8071070493,104.9633179108,104.5574828543,104.6047449745,105.0615756184,105.2327568066,106.0197161402,106.6931104506,107.3596903786,107.5417359261,108.0756937503,107.7752678103,107.2335224002,106.878457182,106.276032481,105.9850913679,106.2740172832,106.795253386,107.2963361341,108.0619092152,109.3309712249,108.5639085558,108.2146366956,107.4248046256,107.5003021619,106.7521489344,106.2531200787,105.5276032006,106.0246455537,106.1050851377,106.4810210131,107.103618983,105.6870968477,105.0852113875
11,Alimentos,57.0331626158,57.458932715,57.9200489708,58.8702584372,59.2899576218,59.1866958572,58.5057890143,58.075247141,58.4351371352,59.2919237105,59.7821184233,60.2109868595,60.9442388895,62.1028677541,63.2364229541,62.5939735846,62.0140538944,61.4323856952,61.2924059326,61.6730576056,62.3054875864,62.794756713,63.2272586625,62.996858197,63.2395289738,63.310086504,63.5274985434,63.2577196316,62.9658181203,63.7777300867,64.6552558229,64.2428562035,64.7117786761,64.8481391364,65.5841958094,66.5521750156,68.0774493187,69.4274752983,72.0910212534,74.3243005323,76.0956465346,77.2321481576,77.8098124987,77.8362491272,78.4351660404,78.1496976407,77.2710119703,77.5372236739,78.4720333867,78.7077415249,80.1676564041,81.010104216,80.6361656952,80.0858626856,79.7469783056,78.6521155969,78.5940818893,79.2150295646,79.5002562459,80.6214644584,82.0331122711,82.5066907195,82.883443613,83.6144620158,83.4591375628,83.1566899029,83.0241747964,83.0981934786,82.9952180955,83.5090649429,84.2282163524,85.1362802971,86.2405872168,87.0584698947,87.5358812721,88.9278662522,89.5859659892,88.5880700732,88.5700709629,89.1929736885,90.1888844495,90.3848684107,91.0819810865,90.9128084369,91.1863508747,92.1477845031,94.5430188975,94.1080390603,93.1582395667,93.2110968265,93.5321371543,93.9374139633,95.8747577518,95.8164100035,96.0026791653,95.3870203562,95.9183546562,95.7639784721,96.5707928593,96.3377392139,95.3008863666,94.6599951403,94.1004104067,94.415668418,94.9232134809,95.9684047528,96.7518793406,97.0016050025,98.6497998234,98.1849189859,99.7827988014,100.3731176833,99.3680720779,98.8836717635,99.6100790861,100.3965165843,100.417313442,100.6437130657,101.2283215643,101.3224827287,101.7799413853,102.213078038,102.7458842174,104.5335794292,104.6973398066,105.1119099604,104.7624460995,104.6863207534,104.9187920981,104.3141879193,104.3041307351,104.77282085,105.2851207587,105.7023582028,106.3929793677,107.1372672106,107.0164388149,106.7333369985,106.2970401741,105.6197424798,105.1196187121,104.4917563479,104.2670031353,104.7312436206,105.2250893456,105.6378332947,106.5203488177,107.9785487796,107.6082399002,107.6021726886,106.6004719597,106.8471023095,105.9621739567,105.4431298849,104.2745778457,104.330681733,104.5053192094,104.9142405064,105.5298717652,103.9213081338,103.0981271957
111,Pan y cereales (ND),51.4801881182,52.3306559677,52.8215748135,53.132385633,52.6238085972,51.9896709769,51.1807675236,50.7559690031,50.6761326122,51.1228329665,51.1134945768,50.1515545919,50.3836522267,50.2954402272,50.6864775983,50.3157352808,50.5230219014,50.8365955567,50.7599065474,51.9625840353,53.7952589443,54.7806557293,54.4196566231,54.6771091786,54.6273060422,54.5654377867,55.7462149242,55.7531080156,55.7118293448,55.9330106139,56.9152427775,58.2500358588,59.7404513049,59.7426821704,61.2980031823,62.8325744405,64.047071018,64.039805648,66.6396826184,69.9108801775,74.2143898455,74.1378067742,77.956175698,77.3844993219,76.532552987,76.0021498901,75.2324332759,75.786223097,75.5756621709,75.8330861506,77.7702750507,76.8949178688,76.4344939593,77.171945149,76.7104287714,74.6870323886,75.2157164077,75.1855940225,74.9226860568,75.0531582969,74.2785299552,74.6539239722,75.9747087714,76.828355112,76.2997340738,76.1493921537,75.4950308472,75.1560473545,76.5743108858,78.0722370195,78.7512457769,79.077695631,80.8285971987,84.7753108951,84.2808120956,86.1717341585,87.3359134955,86.6846526268,85.7411704339,87.4407010897,87.0785418557,87.2151218526,86.6546548291,86.8095588198,87.6802529909,86.7819803679,89.046217186,89.7328706409,90.3691595508,89.4631495555,88.6995114924,89.5079417493,91.0718827922,91.3088102751,92.0678557541,92.0968338723,93.0149561856,92.4598868263,93.9368575901,93.8032757002,95.3996187073,95.6192191719,94.7581895217,94.9011422847,94.5597672989,95.4777507557,94.9082520438,96.0800650894,95.9926681926,96.3831774519,96.642843331,96.5756574415,95.5969595497,95.8336277882,96.2930659123,97.6298325082,97.6509717503,98.1876841667,97.7345595572,98.1792120188,96.607699479,98.9333917821,100.3267835681,101.1809237289,102.1724634838,103.6286171205,104.3219988362,103.531741167,104.5705825963,105.1849581678,105.1283066067,105.6019164628,105.0147732744,105.8781399647,105.9957979328,106.0927243803,106.6113053123,106.0698919657,106.4426769364,106.8327416965,106.3270424499,105.9407083179,105.7777552072,104.8354157273,105.6585497874,106.812644931,105.8933606839,105.4236661726,105.1225519826,104.3863157232,103.3541879931,103.9331948707,102.7993608754,102.2133361951,101.0296074329,101.6763231782,101.3455232385,100.3050987406,101.6094263416,100.483267419,99.6539443237
112,Carne (ND),56.8945214262,57.1571843949,57.6330380182,58.1639033332,59.3097523685,59.6204159427,58.8587423741,58.1724140822,57.4521361874,58.147030825,58.8121092059,59.8576805892,61.0308201744,63.9012510843,64.4102603522,62.8208179026,62.9244720143,63.3391153721,63.3041624596,63.5376875054,63.7821053923,63.732158668,64.5488040317,65.0481028749,65.4784031145,65.5930999876,65.0305274316,65.273167837,65.4552065127,65.7512842741,67.0381900176,66.9041060459,66.9631243526,66.3218473989,66.1080718577,66.8523536314,69.6223506775,71.0485812827,72.0970546535,73.0785033819,75.9864125787,77.2841343275,75.6972615459,75.3379210098,75.8694556397,76.7131890715,76.7056255211,76.8444088366,78.5306894255,79.368338878,80.9483026243,82.3507156946,82.4660553182,82.8941897468,83.1008349185,82.3335347282,81.7076980782,82.6966032661,82.673097929,83.9953328734,84.1707715214,83.7597219203,83.4578616065,84.1805854082,84.5570115671,84.3068128624,85.2583877072,85.0330052435,84.0973244286,85.7288775387,85.509112883,85.9834364166,86.0108899208,85.6611471303,85.5619002332,86.4516181664,87.0769488679,87.1812971955,88.0687666245,87.8694242583,88.84726269,88.1035144795,88.7015539771,89.0638844467,88.4750455186,89.3247169879,91.4600396019,90.1800594918,90.6767124189,90.9740220136,90.9200699876,89.8179180217,89.3926723408,89.7632140769,90.0874140226,90.1093208011,89.3696466021,90.4953944033,91.5289221346,92.8907570884,92.200800116,91.5708546744,91.3717058407,91.8736861217,92.4889269611,93.7096652439,95.3804935843,96.9719056874,99.2382994961,99.0220024524,100.3757233036,100.4219429106,100.3902836586,99.9037412579,100.91964909,101.8581322787,101.8268792132,102.6716867373,103.7734430246,104.113850326,105.1194007905,105.5612346621,105.8050334544,106.1599464428,107.1374097527,107.8111115983,107.5299599297,107.0028830326,106.7654629187,105.2789020542,104.520844934,105.6148891946,106.5213548815,107.0398756015,106.7885316671,106.1339769848,105.9495238214,105.2178859856,105.1933973244,104.7539381025,103.8249761293,103.0325642895,103.5178110234,103.9824421447,103.3513657241,102.8223220311,102.8840299732,103.9317537211,103.2162285312,103.3167265505,103.586601315,103.5847904471,102.733080184,103.5407356533,101.831499441,102.7114733791,102.8458871003,103.7503512894,103.8800510171,103.1548691301,102.9490907992
113,Pescado (ND),55.7764891085,56.222816876,57.6619631986,58.7851672261,57.3048386723,54.3986366767,53.7442268127,54.5262136997,55.1457394084,56.7168157236,59.5805535464,58.0442553201,57.4384957368,58.1215876413,59.2985649601,61.939432217,63.2050712696,62.1788235161,61.3570825945,60.8171574647,60.7812951459,61.6538315607,60.9572252821,61.2185559,61.5825574297,62.9647195974,65.5813721622,64.5848476018,63.4540946969,61.9350949719,60.1665084547,59.7902684749,59.1739204361,61.5700043767,63.5856730024,63.4908159159,64.0187767265,67.4383842023,69.3236609956,70.9337534432,69.1341028091,66.2815756021,66.1082582019,68.3546244703,70.6839318194,71.7505456667,73.4510515185,73.4166729872,73.6749250866,73.5751711836,76.8325256511,78.2847905731,77.0383819935,73.114862638,75.4965797191,72.5166745537,70.9162797667,71.4387659914,72.0607892871,71.9535902406,75.9230649975,77.2216200847,79.849172608,81.042761864,78.5346070341,75.0377504046,73.2624478718,75.4100004374,74.062760715,74.9792680708,77.1932226106,76.6328805008,78.8796193611,80.6779322817,83.7268915694,87.6603885978,86.9291864756,80.6629334277,80.2883459826,83.4693808877,84.7230899557,85.9379984651,90.685609073,90.3898501316,90.3991426073,91.9200177047,98.3182364055,100.5490358661,94.5634752032,91.630979596,85.6371682181,86.6215687221,89.3122712686,90.441836448,95.0355688056,92.5395749821,95.7065310153,96.9851322176,100.8335536333,100.1573368925,94.6016522197,91.3522863507,92.4615139971,94.7821272974,95.9263010362,97.4656106866,98.1494931543,97.5074817553,102.5057712603,102.6195119648,107.9461131906,111.1669500137,107.8082484449,104.7024380369,103.1062834536,102.0713394617,102.4591295386,103.9393954646,104.7100566004,104.5448709356,105.1699847442,104.7322234772,104.555363405,107.0596702179,107.4379944487,107.2728897787,105.7565523872,105.9009786199,105.8023754876,104.4581712691,102.8199011966,102.4316878721,103.2835400378,102.4332949587,106.4340141101,110.4792956005,108.0190185384,108.304284024,108.6368766334,108.1708194936,109.3612240661,108.4661694911,108.7324156596,107.7726417368,108.2831651923,108.3419041979,109.6042236824,111.9538386909,109.06444247,109.296072996,108.7195919879,107.1345370437,108.4998730154,108.3179224597,109.1677312839,109.121271708,110.4194418729,110.3264885737,111.3889117002,112.2455908258,111.2731785953
114,"Leche, queso y huevos (ND)",62.8466833261,62.9168501602,62.7509766818,63.9332847203,64.5729351873,65.0764335509,64.2369047495,64.4985087593,66.4859443596,66.795849987,66.7997775789,66.5572418898,66.7280921359,66.1175202628,66.0509988899,66.5450608533,67.0676461304,66.3190476544,66.3506925139,66.341196076,66.9149355487,66.354008897,66.7299197738,67.2810778629,66.974407419,66.4938059957,66.8084129239,67.5530408421,67.3441742492,67.1383084003,67.9632040942,69.1763917732,68.9914657698,70.1263123421,71.3553209158,72.6322508451,72.4721065574,73.093009452,76.1127119929,76.9265860447,76.8374967088,77.234592137,77.9549833745,78.0236574739,78.3907350393,78.1640166631,78.4072372512,78.810969179,78.743933009,78.3223174042,78.4087077906,80.1226175753,79.1085475525,79.3958030255,78.4597636417,78.8538892456,79.6567719438,79.6535687866,80.340544921,80.5876182127,80.2372655084,79.68644068,79.7950582604,84.2752640756,85.9949304567,85.9984047927,86.0885011187,86.2872308353,86.3883511815,86.5464225913,86.9715644937,87.1321248302,86.5794039619,86.0241590002,86.1117496136,86.9580601132,87.5364025116,87.0580235789,86.7846335706,87.8692438206,88.9331309266,91.2374428558,91.746471059,91.754967759,91.4770936884,90.8216391959,92.4698127762,93.776253858,93.4862154784,93.2074269942,92.552739281,91.5729671839,93.1836600835,94.0807228645,93.7542850349,93.6337419759,94.0632700279,92.9545495749,93.6311240386,94.6359914883,94.5071244504,93.7872827697,93.6069620373,93.7000022439,94.9927233849,96.7694333774,98.092640862,97.7449163062,97.8591911098,97.3183340986,97.4907367105,99.1413992552,99.487259646,99.6906215033,99.1935234779,99.6022983004,99.9127868891,100.3661058814,100.1315426895,99.9599976048,100.586799176,101.0974814025,100.5658088569,100.8240838858,100.705776596,101.3834477393,101.1002085804,101.0973815209,101.3178221886,100.9041591998,100.6878122497,100.7562833658,100.8286681672,100.9853589444,101.6849383712,101.5649780798,101.8037160662,102.3342281527,102.2037069025,102.2051233764,102.3636367943,102.809891684,101.4197852336,103.0313319581,102.2779333904,101.9818157035,100.3472283371,102.8099566364,102.2202640743,102.8795765271,101.9215884764,101.9608460767,103.0622815946,103.3012244856,102.2631993449,101.6709195762,100.9510043048,102.5421203723,102.758639004,101.868337267,103.4102270628
115,Aceites y grasas (ND),51.4249685588,51.4316906804,51.3149912966,51.3629940984,51.1312368764,51.0751671702,51.1587402914,51.1216526086,51.0735078009,51.0286777331,51.401401069,51.323326608,51.3267650141,50.9263863036,51.282698302,51.2423982995,51.3609268295,51.4359231,51.3837571414,51.4233746246,51.0933844715,50.758568019,51.3502123619,53.7757901946,53.9583216297,53.9185336768,54.4812288605,54.6126256988,54.4746593445,55.1480451258,56.1882500848,57.7552229396,59.2161817481,59.289400592,60.7991240624,65.0106992861,67.6377792808,70.9774033077,78.4516173758,84.6126568776,85.6960863894,85.9782731075,85.9859834031,87.4513317509,86.874463648,88.1454693146,86.302468324,84.9336441238,83.955362587,83.7396571256,83.7785840068,83.127658973,82.5655258249,82.3378721518,81.6100974713,81.6461020517,80.866612864,80.9679252089,79.095954472,79.2385057139,80.1723690086,80.2184970372,79.8759287615,79.5803470924,80.2750482848,79.5965457877,80.110463889,80.0667143629,80.2755575334,80.6670335376,81.9199094606,88.0803993908,89.1749366751,94.1602055575,99.7183472362,102.1569187015,102.3245790268,102.5792230796,103.2317734538,103.6812827828,103.6575385786,103.1009655625,103.3873459917,103.5762024332,103.5644514777,102.9262894623,101.8222983421,100.8525841776,100.3261931771,98.3162420263,99.9398128201,100.6270148374,101.9263483936,103.4022160723,103.1296506127,101.5520116066,101.1256305803,100.295685939,100.1596615993,99.519090807,99.6217163575,98.8340645598,98.2865016982,98.0632756017,98.1876590032,97.9937599686,98.202539253,98.2321801058,98.5798797202,99.0103011749,98.9646582749,98.7074878453,99.8187473802,100.0134599657,100.2928621053,101.0524822338,100.7482709665,100.8266824321,101.0531702881,101.5400468775,101.4712979619,100.9234411802,100.1613632267,99.8648294763,101.468752528,101.6864017311,101.8278028057,101.428488505,99.6352816963,99.3776072944,99.8615871416,101.1661061076,101.2656781747,101.1961574488,101.4648953321,100.1557246076,100.0269896225,100.2878513529,101.3093970047,99.4877192644,100.3532835908,98.1858037665,99.1096919337,97.4444884133,96.0140473837,95.5297611124,97.3600059541,98.6306720884,99.3183164438,98.2422130067,99.822531231,100.0481534501,100.1931363799,100.2060979623,99.1268264941,98.3209301093,98.1769584917,99.0486339386,98.7085644696,98.1613019899,96.8255945423
116,Frutas (ND),59.5948327211,60.5581424179,60.8735402713,59.6075505163,59.2743414799,57.8983719478,58.3882944653,58.5448592037,58.468014866,58.2783688015,59.1269889555,61.8795070555,63.5660201881,66.183753432,69.8685023877,67.9940876834,66.1241113044,64.6821240603,65.2981301467,65.094877914,63.8306973624,62.9705682164,63.8175608193,62.4762078328,65.1349008131,67.6407175743,67.848614608,64.9803666696,63.4874387308,64.3895314697,66.1022064429,64.5823594691,65.7516620444,67.4461609881,69.1018053844,69.723088612,71.3888379808,71.8656908075,73.296582306,72.6420794668,69.0119408481,69.4597421637,70.8060857966,74.5531100818,79.8035831015,84.4252597531,81.5853337359,83.7906258746,83.7252812383,82.1646742554,81.2275633838,80.1473784761,79.9130155938,77.8874556066,79.7972149674,78.946504086,78.3136041168,80.0266115229,81.6767091031,85.1023230966,90.5384526712,90.1482969368,91.2462246016,87.6749698649,85.7583226654,85.6968118571,86.3521825136,87.1646583318,85.7635422001,86.0489210589,89.0045149924,89.6480110604,88.2620795373,87.9211969427,89.3057883448,87.683381946,84.8015965812,82.7587593816,82.7982355917,83.323803296,86.1120151276,87.5232756284,90.5617009201,93.6254529032,94.7580732908,95.787528354,96.5179527136,93.7189481496,90.9228481608,91.6227607381,94.9948501446,96.5193380987,101.0103913423,101.9989609061,102.605566969,103.5285738325,108.7405636125,107.5633474047,107.8084059659,102.6256496366,95.470860692,92.8897113635,92.217417947,96.969455206,100.8855352382,102.108255621,102.890005762,99.3652015111,101.5321676635,100.4603588675,102.317026438,99.9471802106,93.2627503023,92.2541750139,96.4414708545,98.8576878936,97.3367166939,97.2725708994,99.9043153401,100.11983506,104.9883517525,102.4871802116,104.4857964363,106.2176856614,101.9175688775,100.4400975367,99.3300740629,100.0932643406,100.1130742009,100.7603199971,102.3524080339,103.9980368355,107.3411169614,107.2469786731,108.9956874743,107.0457546967,102.5861545734,101.536688155,101.489461438,101.6232236687,103.453808647,104.3713211716,107.7401506403,110.462330622,109.0510283786,107.3484041565,106.9850774177,103.9904650173,101.6130461916,100.7289425839,104.5224983519,110.0811512819,113.8102501526,111.1474020428,108.5531468501,106.8326797003,107.6844220512,108.6528194358,108.878370128,104.8115018364,101.1181549775
117,Legumbres-Hortalizas (ND),58.9405921471,59.2496964053,60.4911684187,64.7047563806,66.760016417,68.1434534803,66.675774844,64.7769489344,66.1543037406,69.4382870778,69.7897911691,71.3816875048,72.8788041266,74.6209291909,77.4301944495,75.1920862992,70.0873581313,66.7308636884,65.8810077173,66.9042991269,68.7730163345,71.8907278977,73.1229220218,69.7853107607,69.1237759841,67.5783037471,66.4956072973,65.8749364226,65.4809652878,70.3462968529,71.3287755729,66.2597416413,66.5865431891,64.7978563042,64.3431200705,64.6496653559,66.9531706288,70.4571606365,76.1351952325,82.5572988815,87.2920311474,93.3115535116,92.2127401651,89.1730154525,88.5158511415,81.6547426686,78.1047674565,77.1428537178,81.1427125168,82.8247693327,86.6335661009,89.8166387588,89.527683542,86.8722767816,83.7088946597,81.5967280323,81.9436049447,83.0198236552,83.616364155,85.5238500412,89.636511842,93.0060043028,91.7116202869,89.6340457744,89.2165877835,89.6090585617,87.5305414158,86.8712589354,87.0210424908,84.8793480444,85.5580204475,88.2451154593,93.0554609584,91.9055971262,92.3120694021,95.2870351977,98.7617898312,97.4106771855,97.1482792876,96.5464750927,98.3477902689,97.0012258971,96.3171236184,91.9698618463,92.8677696046,98.8850475646,103.5680825235,101.4864889904,98.128834758,100.9722416157,105.1435409141,108.3541345984,113.3546300888,109.6120569939,107.3621059789,103.9155662315,101.560002117,101.3955160002,100.4893691017,99.7821078329,99.2016009664,99.8191697949,97.735808411,94.249397378,92.6103542921,93.0892427346,94.2540083071,94.8954304158,98.5548498256,96.5489568622,100.9004949428,103.1984818776,103.5746953514,102.534652313,103.5079696138,103.5648910797,104.301763195,102.7613241115,103.5066898781,102.7583298337,101.9043274121,102.7875928757,103.489557758,111.8405322573,112.8793069082,112.9474176795,111.7801284091,112.4246880745,113.1584617333,110.8148605857,112.1608010135,111.3146147195,111.3743961977,111.361649278,113.6042944174,119.5615477649,122.214944192,121.8037984969,117.7852195881,113.8768746829,109.5580005296,105.7282621713,103.5658888799,103.7390719069,109.8073333672,112.9733311928,120.863676649,127.7019218532,130.8807422896,132.9754859215,125.5024374902,122.3934235398,114.4805890995,111.4146184462,111.1746098504,111.2459808418,112.7333900943,112.2816329865,113.3221111434,109.2568432801,106.4259781173
