Fecha,GENERAL,Alimentos y bebidas no alcohólicas,Alimentos,Pan y cereales (ND),Carne (ND),Pescado (ND),"Leche, queso y huevos (ND)",Aceites y grasas (ND),Frutas (ND),Legumbres-Hortalizas (ND),"Azúcar, mermelada, miel, chocolate y dulces de azúcar (ND)",Productos alimenticios n.e.p. (ND),Bebidas no alcohólicas,"Café, té y cacao (ND)","Aguas minerales, refrescos, jugos de frutas y de legumbres (ND)","Bebidas alcohólicas, tabaco y estupefacientes",Bebidas alcohólicas,Bebidas destiladas (ND),Cerveza (ND),Tabaco,Tabaco (ND),Prendas de vestir y calzado,Prendas de vestir,Materiales para prendas de vestir (SD),Prendas de vestir (SD),Otros artículos y accesorios de vestir (SD),"Limpieza, reparación y alquiler de prendas de vestir (S)",Calzado,Zapatos y otros calzados (SD),Reparación y alquiler de calzado (S),"Alojamiento, agua, electricidad, gas y otros combustibles",Alquileres efectivos del alojamiento,Alquileres efectivos pagados por los inquilinos (S),Conservación y reparación de la vivienda,Materiales para la conservación y la reparación de la vivienda (ND),Suministro de agua y servicios diversos relacionados con la vivienda,Suministro de agua (ND),"Electricidad, gas y otros combustibles",Electricidad (ND),Gas (ND),"Muebles, artículos para el hogar y para la conservación ordinaria del hogar","Muebles y accesorios, alfombras y otros materiales para pisos",Muebles y accesorios (D),Productos textiles para el hogar,Productos textiles para el hogar (SD),Artefactos para el hogar,"Artefactos para el hogar grandes, eléctricos o no (D)",Artefactos eléctricos para el hogar pequeños (SD),"Artículos de vidrio y cristal, vajilla y utensilios para el hogar","Artículos de vidrio y cristal, vajilla y utensilios para el hogar (SD)",Herramientas y equipo para el hogar y el jardín,Herramientas pequeñas y accesorios diversos (SD),Bienes y servicios para conservación ordinaria del hogar,Bienes para el hogar no duraderos (ND),Salud,"Productos, artefactos y equipo médicos",Productos farmacéuticos (ND),Otros productos médicos (ND),Artefactos y equipo terapéuticos (D),Servicios para pacientes externos,Servicios médicos (S),Servicios dentales (S),Servicios paramédicos (S),Servicios de hospital (S),Transporte,Adquisición de vehículos,Vehículos a motor (D),Bicicletas (D),Funcionamiento de equipo de transporte personal,Piezas de repuesto y accesorios para equipo de transporte personal (SD),Combustibles y lubricantes para equipo de transporte personal (ND),Conservación y reparación de equipo de transporte personal (S),Servicios de estacionamiento y peaje (S),Servicios de transporte,Transporte de pasajeros por carretera (S),Transporte de pasajeros por aire (S),Comunicaciones,Servicios postales,Servicios postales (S),Equipo telefónico y de facsímile,Equipo telefónico y de facsímile (D),Servicios telefónicos y de facsímile,Servicios telefónicos y de facsímile (S),Recreación y cultura,"Equipo audiovisual, fotográfico y de procesamiento de información","Equipo para la recepción, grabación y reproducción de sonidos e imágenes (D)",Equipo fotográfico y cinematográfico e instrumentos ópticos (D),Equipo de procesamiento e información (D),Medios para grabación (SD),"Otros artículos y equipo para recreación, jardines y animales domésticos",Conservación y reparación de otros bienes duraderos importantes para recreación y cultura (S),"Equipo de deportes, campamentos y recreación al aire libre (SD)",Servicios de recreación y culturales,Servicios de recreación y deportivos (S),Servicios culturales (S),"Periódicos, libros y papeles y útiles de oficina",Libros (SD),Diarios y periódicos (ND),Papel y útiles de oficina y materiales de dibujo (ND),Educación,Enseñanza preescolar y enseñanza primaria,Enseñanza preescolar y enseñanza primaria (S),Enseñanza secundaria,Enseñanza secundaria (S),Enseñanza terciaria,Enseñanza terciaria (S),Restaurantes y hoteles,Servicios de suministro de comidas por contrato,"Restaurantes, cafés y establecimientos similares (S)",Servicios de alojamiento,Servicios de alojamiento (S),Bienes y servicios diversos,Cuidado personal,Salones de peluquería y establecimientos de cuidados personales (S),"Otros aparatos, artículos y productos para la atención personal (ND)"
01-01-05,67.12191759,57.22816925,57.03316262,51.48018812,56.89452143,55.77648911,62.84668333,51.42496856,59.59483272,58.94059215,55.4800672,60.90301212,59.91309413,43.76537834,63.54052962,42.16533914,45.49998282,37.5839728,64.10911106,39.15154171,39.15154171,70.77197275,70.71170588,73.36674596,70.93490119,83.80597711,62.70904971,70.93784249,71.16763439,62.073094,76.41433127,69.17807692,69.17807692,61.31786068,60.65615532,71.77741663,72.1059349,93.38327617,94.94710867,83.92286483,66.81365084,73.01906386,73.08753044,65.88865781,65.88865781,74.41983221,73.78617608,76.55277847,62.71518044,62.71518044,27.68449181,26.93069592,67.87491774,66.1170342,74.23533221,94.14260169,97.4962571,55.85330204,77.92938167,59.02433642,55.6065204,60.10113533,71.77795884,72.76663869,79.76996575,85.23111374,85.37746844,78.46765784,73.47639131,51.29557561,94.78881674,52.27051303,59.90621872,80.86853622,85.20547374,61.6858873,97.19195786,29.84496489,29.84496489,168.9507737,168.9507737,95.82094652,95.82094652,86.28682722,141.2396472,152.0322886,82.72630127,193.5085458,94.45690207,71.65784423,73.04852506,71.12577464,69.80673943,50.85964087,80.69111823,64.60384805,62.81660573,64.3413927,66.17115577,57.00107276,55.01313499,55.01313499,56.51833439,56.51833439,62.27918327,62.27918327,61.95892578,61.95125847,61.95125847,60.30491139,60.30491139,63.93004965,64.39069347,70.88917914,62.77409886
01-02-05,67.30461306,57.62603473,57.45893272,52.33065597,57.15718439,56.22281688,62.91685016,51.43169068,60.55814242,59.24969641,55.4793156,61.29501634,59.89698353,43.24871316,63.65232561,42.34572113,45.8481703,38.12852269,64.10911106,39.15154171,39.15154171,70.69683975,70.46580006,73.82164383,70.65410857,82.92981747,62.81094489,71.30104031,71.53985972,62.09175568,76.67667169,69.49906479,69.49906479,63.4838733,62.79879363,71.9537867,72.2831122,93.44092558,95.01386933,83.92286483,66.62396832,72.36569384,72.43354779,67.27323199,67.27323199,74.38477602,73.73340842,76.61994124,62.87811602,62.87811602,26.04352739,25.33441183,67.59733652,65.84664202,74.32322816,94.11653084,97.50763758,56.37131084,77.57200511,59.20263521,55.6065204,60.10113533,72.8251289,72.87893262,79.76640458,85.44450513,85.60829056,78.23994812,73.33079704,51.96102167,94.75678284,51.60049764,60.66440793,80.88578886,85.20547374,61.78249153,98.1404274,67.151171,67.151171,164.1899194,164.1899194,95.82292606,95.82292606,86.49841099,139.557289,150.3389022,81.47284263,192.5544623,91.70560528,71.62651893,73.04199031,71.0470121,72.584445,60.27877975,80.54967308,64.61247307,62.83744673,64.3413927,66.17115577,57.00107276,55.01313499,55.01313499,56.51833439,56.51833439,62.27918327,62.27918327,62.32944586,62.30163797,62.30163797,61.26511294,61.26511294,63.70898288,64.16803381,70.57684131,62.57342593
01-03-05,67.48187355,58.08210306,57.92004897,52.82157481,57.63303802,57.6619632,62.75097668,51.3149913,60.87354027,60.49116842,55.11811796,60.25348275,60.27683188,43.3378724,64.10324135,42.33193323,45.82155581,37.9661323,64.33969938,39.15154171,39.15154171,70.63329816,70.36824066,73.56754262,70.50089326,83.5738586,63.26919128,71.32480619,71.56424837,62.09175568,77.16126879,70.23606621,70.23606621,63.67176429,62.98465702,71.9537867,72.2831122,93.87070472,95.51157321,83.92286483,66.73616906,73.03867111,73.10715607,67.59725656,67.59725656,74.29544995,73.65054136,76.49539456,61.02187169,61.02187169,26.88522385,26.15319051,67.53543339,65.78634211,74.18027813,94.00515878,97.4229996,56.50629303,77.24291986,58.93544932,54.79890398,60.10113533,74.15591552,72.87893262,79.90603742,85.48875081,85.6552381,78.21541099,73.68898474,52.6182757,94.7364358,51.8300073,65.49064849,80.88578886,85.20547374,61.78249153,97.5839677,67.151171,67.151171,152.9706,152.9706,95.81794462,95.81794462,86.61004485,139.4939225,150.4931602,80.86361847,192.2718004,91.89840211,71.38014767,72.79649616,70.79184988,73.21813304,60.27877975,81.49144734,64.60752793,62.82549759,64.3413927,66.17115577,57.00107276,55.01313499,55.01313499,56.51833439,56.51833439,62.27918327,62.27918327,62.40997828,62.38478742,62.38478742,61.26511294,61.26511294,63.63587316,64.0943973,70.69921978,62.4520027
01-04-05,68.04696003,58.97098379,58.87025844,53.13238563,58.16390333,58.78516723,63.93328472,51.3629941,59.60755052,64.70475638,55.26503861,61.14200849,60.25582611,43.98237204,63.91252931,42.33789665,45.83306688,37.98413511,64.33969938,39.15154171,39.15154171,70.68545305,70.43075602,73.73707646,70.5550179,84.36039171,63.16135913,71.35037586,71.60272322,61.62555529,77.38284045,70.6710789,70.6710789,63.54248114,62.85676902,71.9537867,72.2831122,93.91934533,95.56790125,83.92286483,66.44710781,73.30968062,73.3784197,65.97352326,65.97352326,74.77353332,74.23097257,76.37724458,62.01543567,62.01543567,26.35421363,25.63663868,66.94069851,65.20701019,74.38700277,94.10427536,97.47639184,55.91141725,77.75155989,59.37821279,54.79890398,62.17924857,74.15591552,72.87893262,79.83801991,85.47947741,85.6552381,77.97596867,73.62030352,52.16505084,94.88060126,51.57794693,65.49064849,80.79389003,85.09337554,61.78249153,96.8237196,67.151171,67.151171,137.2176229,137.2176229,95.8339132,95.8339132,88.82853948,139.9746697,152.9978886,80.5332312,189.0729945,91.89840211,71.4001258,72.80177843,70.8399897,73.82960676,62.2835824,81.49144734,69.0643342,71.22816871,64.78086074,68.57923582,59.87189366,57.94548518,57.94548518,59.4782216,59.4782216,64.98161652,64.98161652,62.28236791,62.24646021,62.24646021,61.4611419,61.4611419,63.43317458,63.89023819,71.88625491,61.90852872
01-05-05,68.16611925,59.34983188,59.28995762,52.6238086,59.30975237,57.30483867,64.57293519,51.13123688,59.27434148,66.76001642,55.07180611,60.9846284,60.02933779,44.46887093,63.50591027,42.14007835,45.45122246,37.38694724,64.33969938,39.15154171,39.15154171,70.38720929,70.47750602,73.78909768,70.62729085,83.33493629,63.21800724,70.16654896,70.38787518,61.62555529,77.61000577,71.0137449,71.0137449,63.54248114,62.85676902,72.36531962,72.69652866,93.83746218,95.47307683,83.92286483,66.44924393,73.79587306,73.86506801,66.45463555,66.45463555,74.10511954,73.50205955,76.06904305,62.44169613,62.44169613,26.36590055,25.64800739,66.84914119,65.1178241,74.28410118,93.81278856,97.13543824,55.91141725,77.75155989,59.37821279,54.79890398,62.17924857,74.15591552,72.87893262,80.02969399,86.1194529,86.34849741,77.26799925,73.8005036,52.33395557,94.91706954,51.98316061,65.49064849,80.79389003,85.09337554,61.78249153,97.14014797,67.151171,67.151171,142.5829532,142.5829532,95.89112378,95.89112378,88.54047114,138.12764,149.9989135,79.07573391,188.2306341,91.89840211,72.3640182,72.94460941,73.37286658,73.58877738,62.2835824,81.13353162,69.47580854,71.53378601,64.78086074,69.35819762,59.94911853,57.96358232,57.96358232,59.51525732,59.51525732,65.21751086,65.21751086,62.25941291,62.22342615,62.22342615,61.4412437,61.4412437,63.40603671,63.86290478,71.88625491,61.87453992
01-06-05,68.21456719,59.27371548,59.18669586,51.98967098,59.62041594,54.39863668,65.07643355,51.07516717,57.89837195,68.14345348,55.08656759,61.52590746,60.35485569,45.13985959,63.74055519,42.16767504,45.42206028,37.34133887,64.33969938,39.24146206,39.24146206,70.48833582,70.65994016,73.8612993,70.8505025,82.10334849,63.37281052,70.05898964,70.27749736,61.62555529,77.94500918,71.77516147,71.77516147,63.28097033,62.59808027,72.36531962,72.69652866,93.74043055,95.10043434,85.57827026,66.64309361,73.5870331,73.65603224,67.10875194,67.10875194,74.18799827,73.37111795,77.37575952,62.23307534,62.23307534,26.67029216,25.94411099,67.16055601,65.42117363,75.10954111,93.5771133,96.99555946,55.91141725,76.82877413,60.66321887,56.90065351,62.17924857,74.15591552,74.52749448,80.33034208,86.38713977,86.62149581,77.39384087,74.47901097,53.19112181,94.93013692,53.51790781,66.2432665,80.79389003,85.09337554,61.78249153,96.28072999,67.151171,67.151171,126.4610581,126.4610581,95.81880531,95.81880531,88.66398744,138.3854526,149.838813,80.38970935,188.6879711,91.89840211,73.13346516,74.19792458,73.25646602,73.5757388,62.2835824,81.11415395,69.48783038,71.3366243,64.78086074,69.61407591,59.88037546,57.78552065,57.78552065,59.51525732,59.51525732,65.21751086,65.21751086,61.87232797,61.81291726,61.81291726,61.76482886,61.76482886,63.30174359,63.75786018,70.71151352,62.03052308
01-07-05,68.10835324,58.64595722,58.50578901,51.18076752,58.85874237,53.74422681,64.23690475,51.15874029,58.38829447,66.67577484,55.06972614,61.51724482,60.5151271,45.52376998,63.84241678,42.07436374,45.24194349,37.05964413,64.33969938,39.24146206,39.24146206,70.69288592,70.75777272,73.97007208,70.90256488,82.1818769,64.06926091,70.53749649,70.77999412,61.18923172,78.06157925,72.00648283,72.00648283,63.8760158,63.18670437,72.36531962,72.69652866,93.70374762,95.07920715,85.44309468,66.88552405,73.66029017,73.729358,67.35181065,67.35181065,74.64191492,73.91070643,77.32950773,62.45276601,62.45276601,26.36575515,25.64786595,67.4882868,65.74041656,74.97302417,93.7834728,97.17198442,55.91141725,77.27018062,60.12343181,57.55997178,58.08100591,73.74644016,74.52749448,80.41432489,86.26838001,86.48724772,77.66442994,74.76345697,54.4479688,94.95391382,53.98839486,65.4903679,80.80137982,85.09337554,61.82442982,96.53684306,67.151171,67.151171,126.8032248,126.8032248,96.07954121,96.07954121,89.02675538,139.1704865,148.5686934,80.55159111,195.7949466,91.53232487,71.735399,71.94065913,73.43046797,74.72551761,66.05040719,81.11546253,69.46388389,71.27876138,64.78086074,69.61407591,59.88037546,57.78552065,57.78552065,59.51525732,59.51525732,65.21751086,65.21751086,62.02017297,61.97354557,61.97354557,61.52676178,61.52676178,63.29117757,63.74721803,70.40787104,62.0913702
01-08-05,68.00871177,58.23742454,58.07524714,50.755969,58.17241408,54.5262137,64.49850876,51.12165261,58.5448592,64.77694893,55.2602529,60.0715281,60.43343812,46.41684874,63.5125788,42.05314147,45.20097861,36.99557687,64.33969938,39.24146206,39.24146206,70.54071767,70.7265582,72.21635606,70.91751625,82.56486519,64.06173409,70.07483806,70.29955644,61.40473228,78.35863216,72.40931089,72.40931089,64.9202407,64.21966062,72.68866741,73.02135639,93.73657762,95.08957245,85.61897569,66.62832201,73.56346098,73.63243802,67.14998293,67.14998293,73.80486509,73.06804518,76.54147815,62.56835033,62.56835033,25.97963235,25.27225653,67.41378675,65.66784598,74.52019176,92.54216742,95.83733298,55.59858813,76.51695907,60.08573136,57.71732855,57.45250733,73.74644016,74.52749448,80.59850326,87.26203176,87.5662799,76.49934101,74.72898727,54.02898753,94.96331651,54.00930877,65.4903679,80.80463062,85.09337554,61.84263232,96.66896725,67.151171,67.151171,129.2252283,129.2252283,96.09368906,96.09368906,88.65470858,137.6244644,147.5262663,80.21718375,193.8097561,87.98796205,71.77866603,72.19686076,73.07533758,74.8149514,66.05040719,81.24837721,69.47718699,71.31090623,64.78086074,69.61407591,59.88037546,57.78552065,57.78552065,59.51525732,59.51525732,65.21751086,65.21751086,62.68778109,62.66284871,62.66284871,61.52676178,61.52676178,63.09885709,63.5535118,70.44975374,61.84028035
01-09-05,68.49608016,58.59194759,58.43513714,50.67613261,57.45213619,55.14573941,66.48594436,51.0735078,58.46801487,66.15430374,54.91779746,60.55440306,60.70737651,48.13482342,63.41564556,42.06722793,45.1840515,36.96910362,64.33969938,39.28958804,39.28958804,70.19909678,70.25668351,72.76294883,70.34645779,83.91602978,63.8757584,70.06236734,70.27665718,61.7896431,78.5389287,72.75584854,72.75584854,64.69035288,63.99225361,72.68866741,73.02135639,93.79973302,95.04151901,86.38977089,66.58332567,73.43921467,73.5080752,66.94682491,66.94682491,74.19231514,73.46058977,76.8919256,62.17412333,62.17412333,26.23021594,25.51601721,67.22026208,65.47933338,74.46611421,92.41676137,95.75365268,53.88676912,76.32938085,60.06044884,57.71732855,57.33384367,73.74644016,74.52749448,81.26907524,88.07832292,88.41614738,76.45109114,75.13696297,54.54139941,94.98441155,54.97132741,65.4903679,81.61199671,86.07820076,61.84263232,96.83092725,67.151171,67.151171,132.5236142,132.5236142,96.09337252,96.09337252,89.08027769,136.0886037,146.1674849,79.65925789,194.1140803,82.93126323,72.21005895,72.86983931,73.06581418,75.02618415,66.05040719,81.56230703,71.1802539,74.31432025,64.78086074,70.87166446,63.57370321,61.91212201,61.91212201,63.57651272,63.57651272,67.73536677,67.73536677,62.47944785,62.4116386,62.4116386,62.60409002,62.60409002,63.33355474,63.78990055,71.06081342,61.98514524
01-10-05,68.73577686,59.40179109,59.29192371,51.12283297,58.14703083,56.71681572,66.79584999,51.02867773,58.2783688,69.43828708,55.00490153,60.07041332,60.82031326,47.4962194,63.71949157,41.84892523,44.76266651,36.43439526,64.10232759,39.28958804,39.28958804,70.27148466,70.29120313,72.74165569,70.35382272,83.94560026,64.29069424,70.23196758,70.43840584,62.2581546,78.85315595,73.08846513,73.08846513,65.69099374,64.98209615,73.20611486,73.54117214,93.87647581,95.00442723,87.19092429,66.60499673,74.04859302,74.11802495,66.95181266,66.95181266,73.77678691,72.97429731,76.89034999,61.19417848,61.19417848,26.26956271,25.55429265,67.28626845,65.54363026,74.61065629,92.53454589,95.88803464,53.3510491,76.42772186,59.92002654,57.65552792,56.85211387,73.74644016,75.16014245,81.33802634,88.23770116,88.5819896,76.44394938,75.20500587,54.73610112,94.96606763,55.11024574,65.63139568,81.64051042,86.11298179,61.84263232,96.81940916,67.151171,67.151171,132.3667448,132.3667448,96.08923013,96.08923013,88.80852134,134.975614,144.3275591,79.61128494,193.2279364,82.56309549,72.34083832,73.13346886,72.95104262,74.94322626,66.05040719,81.4390167,71.2432805,74.31432025,64.78086074,71.04393174,63.57880369,61.91212201,61.91212201,63.59035804,63.59035804,67.73536677,67.73536677,62.17664906,62.09900052,62.09900052,62.60407025,62.60407025,63.12736052,63.5822206,71.09947451,61.71746522
