"COD_CANTON","CANTON","ARCH_CANTON"
"1707","SAN MIGUEL DE LOS BANCOS","1707 SAN MIGUEL DE LOS BANCOS"
"1708","PEDRO VICENTE MALDONADO","1708 PEDRO VICENTE MALDONADO"
"1709","PUERTO QUITO","1709 PUERTO QUITO"
"1801","AMBATO","1801 AMBATO"
"1802","BANOS DE AGUA SANTA","1802 BANOS DE AGUA SANTA"
"1803","CEVALLOS","1803 CEVALLOS"
"1804","MOCHA","1804 MOCHA"
"1805","PATATE","1805 PATATE"
"1806","QUERO","1806 QUERO"
"1807","SAN PEDRO DE PELILEO","1807 SAN PEDRO DE PELILEO"
"1808","SANTIAGO DE PILLARO","1808 SANTIAGO DE PILLARO"
"1809","TISALEO","1809 TISALEO"
"1901","ZAMORA","1901 ZAMORA"
"1902","CHINCHIPE","1902 CHINCHIPE"
"1903","NANGARITZA","1903 NANGARITZA"
"1904","YACUAMBI","1904 YACUAMBI"
"1905","YANTZAZA","1905 YANTZAZA"
"1906","EL PANGUI","1906 EL PANGUI"
"1907","CENTINELA DEL CONDOR","1907 CENTINELA DEL CONDOR"
"1908","PALANDA","1908 PALANDA"
"1909","PAQUISHA","1909 PAQUISHA"
"2101","LAGO AGRIO","2101 LAGO AGRIO"
"2102","GONZALO PIZARRO","2102 GONZALO PIZARRO"
"2103","PUTUMAYO","2103 PUTUMAYO"
"2104","SHUSHUFINDI","2104 SHUSHUFINDI"
"2105","SUCUMBIOS","2105 SUCUMBIOS"
"2106","CASCALES","2106 CASCALES"
"2107","CUYABENO","2107 CUYABENO"
"2201","ORELLANA","2201 ORELLANA"
"2202","AGUARICO","2202 AGUARICO"
"2203","LA JOYA DE LOS SACHAS","2203 LA JOYA DE LOS SACHAS"
"2204","LORETO","2204 LORETO"
"2301","SANTO DOMINGO","2301 SANTO DOMINGO"
"2302","LA CONCORDIA","2302 LA CONCORDIA"
"2401","SANTA ELENA","2401 SANTA ELENA"
"2402","LIBERTAD","2402 LIBERTAD"
"2403","SALINAS","2403 SALINAS"
"9004","EL PIEDRERO","9004 EL PIEDRERO"
"9005","ABDON CALDERON","9005 ABDON CALDERON"
"9006","JUVAL","9006 JUVAL"
"9007","MATILDE ESTHER","9007 MATILDE ESTHER"
"9008","SANTA ROSA DE AGUA CLARA","9008 SANTA ROSA DE AGUA CLARA"
